,MAL_ID,Genres,Type,Episodes,Rating,Popularity,Cleaned_Name,Year_Premiered,Duration_in_Minutes
127,20787,"Action, Sci-Fi, Mystery, Seinen",TV,13,R - 17+ (violence & profanity),127,Black Bullet,2014,24.0
128,22043,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,PG-13 - Teens 13 or older,128,Fairy Tail Series 2,2014,24.0
129,38671,"Action, Supernatural, Shounen",TV,24,PG-13 - Teens 13 or older,130,Fire Force,2019,23.0
130,40748,"Action, Demons, Supernatural, School, Shounen",TV,24,R - 17+ (violence & profanity),130,Jujutsu Kaisen (TV),2020,23.0
131,37349,"Action, Adventure, Fantasy",TV,12,R - 17+ (violence & profanity),131,Goblin Slayer,2018,23.0
132,36511,"Action, Psychological, Supernatural, Mystery, Drama, Horror, Seinen",TV,12,R - 17+ (violence & profanity),132,Tokyo Ghoul:re,2018,24.0
133,889,"Action, Seinen",TV,12,R - 17+ (violence & profanity),133,Black Lagoon,2006,24.0
134,1689,"Drama, Romance, Slice of Life",Movie,3,PG-13 - Teens 13 or older,136,5 Centimeters Per Second,2007,22.0
135,20899,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,R - 17+ (violence & profanity),136,JoJo's Bizarre Adventure:Stardust Crusaders,2014,24.0
136,30240,"Comedy, Ecchi, Romance, School, Seinen",TV,12,R+ - Mild Nudity,136,Prison School,2015,24.0
137,16592,"Mystery, Horror, Psychological, School",TV,13,R - 17+ (violence & profanity),137,Danganronpa:The Animation,2013,24.0
138,17895,"Comedy, Drama, Romance",TV,24,PG-13 - Teens 13 or older,138,Golden Time (2013),2013,24.0
139,37520,"Action, Adventure, Demons, Historical, Samurai, Shounen, Supernatural",TV,24,R - 17+ (violence & profanity),140,Dororo (2019),2019,24.0
140,14345,"Action, Sci-Fi, Psychological, Seinen",TV,12,R - 17+ (violence & profanity),140,BTOOOM!,2012,24.0
141,23289,"Comedy, Romance, School",TV,12,PG-13 - Teens 13 or older,142,Monthly Girls' Nozaki-kun,2014,24.0
142,777,"Action, Military, Horror, Supernatural, Vampire, Seinen",OVA,10,R - 17+ (violence & profanity),143,Hellsing Ultimate,2006,50.0
143,15451,"Action, Harem, Comedy, Demons, Romance, Ecchi, School",TV,12,R+ - Mild Nudity,144,High School DxD New,2013,24.0
144,37521,"Action, Adventure, Drama, Historical, Seinen",TV,24,R - 17+ (violence & profanity),145,Vinland Saga,2019,24.0
145,35788,"Ecchi, School, Shounen",TV,12,PG-13 - Teens 13 or older,146,Food Wars! The Third Plate,2017,24.0
146,1195,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,13,PG-13 - Teens 13 or older,147,The Familiar of Zero,2006,23.0
147,36474,"Action, Game, Adventure, Romance, Fantasy",TV,24,R - 17+ (violence & profanity),148,Sword Art Online:Alicization,2018,24.0
148,6045,"Slice of Life, Drama, Romance, School, Shoujo",TV,25,PG-13 - Teens 13 or older,148,Kimi ni Todoke:From Me to You,2009,22.0
149,35073,"Action, Game, Adventure, Supernatural, Magic, Fantasy",TV,13,R - 17+ (violence & profanity),148,Overlord II,2018,23.0
150,40591,"Comedy, Psychological, Romance, School, Seinen",TV,12,PG-13 - Teens 13 or older,151,Kaguya-sama:Love is War Season 2,2020,24.0
151,10165,"Slice of Life, Comedy, School, Shounen",TV,26,PG-13 - Teens 13 or older,153,Nichijou - My Ordinary Life,2011,23.0
152,35120,"Action, Dementia, Demons, Horror, Supernatural",ONA,10,R+ - Mild Nudity,153,Devilman:Crybaby,2018,25.0
153,2966,"Adventure, Fantasy, Historical, Romance",TV,13,PG-13 - Teens 13 or older,153,Spice and Wolf,2008,24.0
154,27775,"Sci-Fi, Drama, Romance",TV,13,PG-13 - Teens 13 or older,154,Plastic Memories,2015,24.0
155,10719,"Ecchi, Slice of Life, Comedy, Harem, Romance, School",TV,12,R+ - Mild Nudity,156,Haganai:I don't have many friends,2011,24.0
156,934,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",TV,26,R - 17+ (violence & profanity),156,When They Cry,2006,24.0
157,30296,"Action, Romance, Ecchi, Fantasy, School",TV,12,R - 17+ (violence & profanity),158,Chivalry of a Failed Knight,2015,23.0
158,26055,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,R - 17+ (violence & profanity),159,JoJo's Bizarre Adventure:Stardust Crusaders - Battle in Egypt,2015,23.0
159,18115,"Action, Adventure, Magic, Fantasy, Shounen",TV,25,PG-13 - Teens 13 or older,160,Magi:The Kingdom of Magic,2013,25.0
160,11887,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",TV,13,PG-13 - Teens 13 or older,161,Kokoro Connect,2012,24.0
161,4654,"Action, Magic, Sci-Fi, Super Power",TV,24,R - 17+ (violence & profanity),161,A Certain Magical Index,2008,23.0
162,31933,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",TV,39,R - 17+ (violence & profanity),163,JoJo's Bizarre Adventure:Diamond is Unbreakable,2016,23.0
